movie_name,ranking,score,score_num
无敌破坏王,187,8.7,572431
岁月神偷,188,8.7,591582
忠犬八公物语,189,9.2,205774
荒蛮故事,190,8.8,466674
冰川时代,191,8.6,647003
牯岭街少年杀人事件,192,8.9,329423
恐怖游轮,193,8.5,919544
爆裂鼓手,194,8.7,622499
东京教父,195,9.0,255560
魔女宅急便,196,8.7,489096
大佛普拉斯,197,8.7,504154
贫民窟的百万富翁,198,8.6,773315
遗愿清单,199,8.7,494221
东邪西毒,200,8.6,601306
末路狂花,201,8.9,291940
你看起来好像很好吃,202,8.9,350570
可可西里,203,8.9,320731
源代码,204,8.5,873766
城市之光,205,9.3,157645
疯狂的麦克斯4：狂暴之路,206,8.7,575439
黑天鹅,207,8.6,809076
海边的曼彻斯特,208,8.6,591169
波西米亚狂想曲,209,8.6,644284
真爱至上,210,8.5,766308
爱乐之城,211,8.4,1004774
雨人,212,8.7,421432
青蛇,213,8.6,553961
芙蓉镇,214,9.3,159486
初恋这件小事,215,8.5,1010399
终结者2：审判日,216,8.8,359025
人工智能,217,8.7,470050
高山下的花环,218,9.5,115348
虎口脱险,219,8.9,273446
恋恋笔记本,220,8.5,707149
新龙门客栈,221,8.7,469936
无耻混蛋,222,8.7,509667
花束般的恋爱,223,8.6,706008
罗生门,224,8.8,333423
崖上的波妞,225,8.6,532232
千钧一发,226,8.8,321018
哈利·波特与死亡圣器(上),227,8.6,620924
彗星来的那一夜,228,8.6,624988
白日梦想家,229,8.6,553679
萤火虫之墓,230,8.7,419580
黑客帝国2：重装上阵,231,8.7,426718
奇迹男孩,232,8.6,573049
火星救援,233,8.5,775353
二十二,234,8.7,301890
战争之王,235,8.7,389133
血钻,236,8.7,398909
哈利·波特与凤凰社,237,8.5,616547
大红灯笼高高挂,238,8.8,314908
步履不停,239,8.8,296904
千年女优,240,8.8,290707
房间,241,8.8,382376
谍影重重2,242,8.7,371938
魂断蓝桥,243,8.8,292797
蜘蛛侠：平行宇宙,244,8.6,707943
弱点,245,8.7,331486
谍影重重,246,8.6,452236
阿飞正传,247,8.5,537756
朗读者,248,8.6,469347
隐藏人物,249,8.9,237529
再次出发之纽约遇见你,250,8.6,446514
movie_name,ranking,score,score_num
肖申克的救赎,1,9.7,3046235
霸王别姬,2,9.6,2250819
阿甘正传,3,9.5,2269342
泰坦尼克号,4,9.5,2309057
千与千寻,5,9.4,2357924
这个杀手不太冷,6,9.4,2393764
美丽人生,7,9.5,1388295
星际穿越,8,9.4,1977099
盗梦空间,9,9.4,2171447
楚门的世界,10,9.4,1832033
辛德勒的名单,11,9.5,1174249
忠犬八公的故事,12,9.4,1454852
